team1,team2,city,date,toss_winner,first_batting,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,match_winner
Pakistan,South Africa,Multan Cricket Stadium,26 October 2007,1,0,Yasir Hameed,Shahid Afridi,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Kamran Akmal,Abdur Rehman,Iftikhar Anjum,Umar Gul,Mohammad Asif,GC Smith,HH Gibbs,SM Pollock,JH Kallis,AB de Villiers,MV Boucher,JP Duminy,JA Morkel,J Botha,M Ntini,A Nel,1
Kenya,Bermuda,Nairobi,27 October 2007,1,1,SD Outerbridge,J Edness,IH Romaine,JJ Celestine,DL Hemp,JJ Tucker,LOB Cann,RJ Trott,MO Jones,KAD Hurdle,RDM Leverock,MA Ouma,DO Obuya,CO Obuya,JK Kamande,SO Tikolo,TM Odoyo,NN Odhiambo,LN Onyango,PJ Ongondo,AA Obanda,HA Varaiya,0
Kenya,Bermuda,Nairobi,28 October 2007,1,1,J Edness,AR Pitcher,LOB Cann,IH Romaine,SD Outerbridge,DL Hemp,JJ Tucker,RJ Trott,MO Jones,RDM Leverock,KC Hodsoll,DO Obuya,MA Ouma,CO Obuya,AO Suji,SO Tikolo,TM Odoyo,JK Kamande,NN Odhiambo,PJ Ongondo,HA Varaiya,AS Luseno,0
Pakistan,South Africa,Lahore,29 October 2007,1,1,HH Gibbs,GC Smith,JH Kallis,AB de Villiers,JP Duminy,MV Boucher,SM Pollock,JA Morkel,J Botha,A Nel,M Ntini,Imran Nazir,Kamran Akmal,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Shahid Afridi,Sohail Tanvir,Abdur Rehman,Iftikhar Anjum,Shoaib Akhtar,1
India,Pakistan,Guwahati,5 November 2007,1,1,Salman Butt,Kamran Akmal,Younis Khan,Mohammad Yousuf,Shahid Afridi,Shoaib Malik,MisbahulHaq,Abdur Rehman,Iftikhar Anjum,Shoaib Akhtar,Umar Gul,SC Ganguly,SR Tendulkar,G Gambhir,MS Dhoni,Yuvraj Singh,RV Uthappa,IK Pathan,Harbhajan Singh,M Kartik,Z Khan,RP Singh,0
India,Pakistan,Mohali,8 November 2007,1,0,SC Ganguly,SR Tendulkar,G Gambhir,V Sehwag,Yuvraj Singh,MS Dhoni,RV Uthappa,IK Pathan,Harbhajan Singh,Z Khan,RP Singh,Salman Butt,Kamran Akmal,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Shahid Afridi,Sohail Tanvir,Iftikhar Anjum,Shoaib Akhtar,Umar Gul,1
India,Pakistan,Kanpur,11 November 2007,1,0,SC Ganguly,SR Tendulkar,G Gambhir,Yuvraj Singh,MS Dhoni,RV Uthappa,IK Pathan,Harbhajan Singh,M Kartik,Z Khan,RP Singh,Salman Butt,Shahid Afridi,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Kamran Akmal,Sohail Tanvir,Abdur Rehman,Shoaib Akhtar,Umar Gul,0
India,Pakistan,Gwalior,15 November 2007,1,1,Salman Butt,Shoaib Malik,Younis Khan,Mohammad Yousuf,Shahid Afridi,MisbahulHaq,Sohail Tanvir,Kamran Akmal,Shoaib Akhtar,Umar Gul,Iftikhar Anjum,SC Ganguly,SR Tendulkar,G Gambhir,V Sehwag,Yuvraj Singh,MS Dhoni,RV Uthappa,IK Pathan,Harbhajan Singh,Z Khan,RP Singh,0
India,Pakistan,Jaipur,18 November 2007,1,1,Salman Butt,Imran Nazir,Yasir Hameed,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Fawad Alam,Sohail Tanvir,Sarfraz Ahmed,Umar Gul,Iftikhar Anjum,G Gambhir,SR Tendulkar,RV Uthappa,V Sehwag,RG Sharma,Yuvraj Singh,MS Dhoni,IK Pathan,P Kumar,M Kartik,S Sreesanth,1
South Africa,New Zealand,Durban,25 November 2007,1,1,L Vincent,BB McCullum,JM How,SB Styris,LRPL Taylor,MS Sinclair,GJ Hopkins,KD Mills,DL Vettori,MR Gillespie,CS Martin,MN van Wyk,GC Smith,JH Kallis,AB de Villiers,JP Duminy,MV Boucher,SM Pollock,JA Morkel,J Botha,A Nel,M Ntini,0
Zimbabwe,West Indies,Harare Sports Club,30 November 2007,1,0,V Sibanda,BRM Taylor,CJ Chibhabha,T Taibu,H Masakadza,E Chigumbura,S Matsikenyeri,P Utseya,KM Dabengwa,GB Brent,RW Price,CH Gayle,DS Smith,S Chanderpaul,MN Samuels,RS Morton,RN Lewis,DJ Bravo,D Ramdin,R Rampaul,JE Taylor,DBL Powell,0
South Africa,New Zealand,Port Elizabeth,30 November 2007,1,0,HH Gibbs,GC Smith,JH Kallis,AB de Villiers,JP Duminy,MV Boucher,SM Pollock,JA Morkel,J Botha,A Nel,CK Langeveldt,L Vincent,BB McCullum,JM How,SB Styris,LRPL Taylor,MS Sinclair,JDP Oram,DL Vettori,KD Mills,JS Patel,MR Gillespie,1
Zimbabwe,West Indies,Harare Sports Club,2 December 2007,1,1,CH Gayle,DS Smith,RS Morton,S Chanderpaul,MN Samuels,DJ Bravo,D Ramdin,RN Lewis,R Rampaul,JE Taylor,DBL Powell,V Sibanda,BRM Taylor,CJ Chibhabha,T Taibu,H Masakadza,S Matsikenyeri,KM Dabengwa,E Chigumbura,P Utseya,GB Brent,RW Price,1
South Africa,New Zealand,Cape Town,2 December 2007,1,1,L Vincent,BB McCullum,JM How,SB Styris,LRPL Taylor,MS Sinclair,JDP Oram,KD Mills,DL Vettori,MR Gillespie,JS Patel,GC Smith,HH Gibbs,JH Kallis,AB de Villiers,JP Duminy,MV Boucher,SM Pollock,J Botha,A Nel,DW Steyn,CK Langeveldt,0
Zimbabwe,West Indies,Harare Sports Club,4 December 2007,1,0,V Sibanda,BRM Taylor,CJ Chibhabha,T Taibu,H Masakadza,S Matsikenyeri,E Chigumbura,KM Dabengwa,P Utseya,GB Brent,RW Price,DS Smith,BA Parchment,RS Morton,S Chanderpaul,MN Samuels,DJ Bravo,RN Lewis,DBL Powell,D Ramdin,R Rampaul,JE Taylor,1
Zimbabwe,West Indies,Bulawayo,7 December 2007,1,0,V Sibanda,H Masakadza,E Chigumbura,T Taibu,BRM Taylor,S Matsikenyeri,KM Dabengwa,CJ Chibhabha,P Utseya,GB Brent,RW Price,DS Smith,BA Parchment,RS Morton,MN Samuels,DJ Bravo,N Deonarine,D Ramdin,RN Lewis,DBL Powell,R Rampaul,JE Taylor,1
Australia,New Zealand,Adelaide Oval,14 December 2007,1,1,L Vincent,BB McCullum,JM How,SB Styris,LRPL Taylor,JDP Oram,MS Sinclair,DL Vettori,KD Mills,MR Gillespie,CS Martin,AC Gilchrist,ML Hayden,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,JR Hopes,B Lee,GB Hogg,SW Tait,NW Bracken,0
Australia,New Zealand,Hobart,20 December 2007,1,0,ML Hayden,MJ Clarke,RT Ponting,MEK Hussey,A Symonds,BJ Haddin,JR Hopes,B Lee,GB Hogg,SW Tait,NW Bracken,JM How,BB McCullum,MS Sinclair,SB Styris,LRPL Taylor,JDP Oram,GJ Hopkins,DL Vettori,KD Mills,MR Gillespie,JS Patel,0
New Zealand,Bangladesh,Auckland,26 December 2007,1,1,Tamim Iqbal,Junaid Siddique,Aftab Ahmed,Mohammad Ashraful,Shakib Al Hasan,Mehrab Hossain jnr,Mushfiqur Rahim,Farhad Reza,Mashrafe Mortaza,Abdur Razzak,Shahadat Hossain,JM How,BB McCullum,PG Fulton,SB Styris,LRPL Taylor,MS Sinclair,JDP Oram,KD Mills,DL Vettori,MR Gillespie,CS Martin,0
New Zealand,Bangladesh,Napier,28 December 2007,1,0,JM How,BB McCullum,PG Fulton,SB Styris,LRPL Taylor,JDP Oram,MS Sinclair,KD Mills,DL Vettori,MR Gillespie,CS Martin,Tamim Iqbal,Junaid Siddique,Mohammad Ashraful,Aftab Ahmed,Tushar Imran,Shakib Al Hasan,Farhad Reza,Mushfiqur Rahim,Mashrafe Mortaza,Abdur Razzak,Shahadat Hossain,0
New Zealand,Bangladesh,Queenstown Events Centre,31 December 2007,1,1,Tamim Iqbal,Junaid Siddique,Mohammad Ashraful,Aftab Ahmed,Tushar Imran,Shakib Al Hasan,Farhad Reza,Mushfiqur Rahim,Abdur Razzak,Mashrafe Mortaza,Shahadat Hossain,JM How,BB McCullum,PG Fulton,LRPL Taylor,SB Styris,MS Sinclair,JDP Oram,KD Mills,DL Vettori,MJ Mason,CS Martin,0
New Zealand,Bangladesh,Queenstown Events Centre,31 December 2007,1,1,Tamim Iqbal,Junaid Siddique,Mohammad Ashraful,Aftab Ahmed,Tushar Imran,Shakib Al Hasan,Farhad Reza,Mushfiqur Rahim,Abdur Razzak,Mashrafe Mortaza,Shahadat Hossain,JM How,BB McCullum,PG Fulton,LRPL Taylor,SB Styris,MS Sinclair,JDP Oram,KD Mills,DL Vettori,MJ Mason,CS Martin,0
New Zealand,Bangladesh,Napier,28 December 2007,1,0,JM How,BB McCullum,PG Fulton,SB Styris,LRPL Taylor,JDP Oram,MS Sinclair,KD Mills,DL Vettori,MR Gillespie,CS Martin,Tamim Iqbal,Junaid Siddique,Mohammad Ashraful,Aftab Ahmed,Tushar Imran,Shakib Al Hasan,Farhad Reza,Mushfiqur Rahim,Mashrafe Mortaza,Abdur Razzak,Shahadat Hossain,0
New Zealand,Bangladesh,Auckland,26 December 2007,1,1,Tamim Iqbal,Junaid Siddique,Aftab Ahmed,Mohammad Ashraful,Shakib Al Hasan,Mehrab Hossain jnr,Mushfiqur Rahim,Farhad Reza,Mashrafe Mortaza,Abdur Razzak,Shahadat Hossain,JM How,BB McCullum,PG Fulton,SB Styris,LRPL Taylor,MS Sinclair,JDP Oram,KD Mills,DL Vettori,MR Gillespie,CS Martin,0
South Africa,West Indies,Centurion,20 January 2008,1,1,DS Smith,BA Parchment,MN Samuels,S Chanderpaul,RS Morton,DJ Bravo,D Ramdin,DJG Sammy,R Rampaul,DBL Powell,FH Edwards,GC Smith,AB de Villiers,JH Kallis,JP Duminy,JL Ontong,MV Boucher,JA Morkel,SM Pollock,A Nel,DW Steyn,CK Langeveldt,0
Pakistan,Zimbabwe,Karachi,21 January 2008,1,0,Salman Butt,Nasir Jamshed,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Shahid Afridi,Kamran Akmal,Sohail Tanvir,Samiullah Khan,Iftikhar Anjum,V Sibanda,H Masakadza,CJ Chibhabha,T Taibu,BRM Taylor,SC Williams,S Matsikenyeri,E Chigumbura,P Utseya,RW Price,CB Mpofu,0
Pakistan,Zimbabwe,Hyderabad,24 January 2008,1,1,V Sibanda,H Masakadza,CJ Chibhabha,T Taibu,BRM Taylor,E Chigumbura,SC Williams,S Matsikenyeri,P Utseya,GB Brent,RW Price,Salman Butt,Nasir Jamshed,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Shahid Afridi,Kamran Akmal,Sohail Tanvir,Samiullah Khan,Iftikhar Anjum,0
South Africa,West Indies,Cape Town,25 January 2008,1,0,GC Smith,HH Gibbs,JH Kallis,AB de Villiers,JP Duminy,MV Boucher,SM Pollock,J Botha,M Morkel,DW Steyn,CK Langeveldt,BA Parchment,S Chattergoon,RS Morton,MN Samuels,S Chanderpaul,DJ Bravo,D Ramdin,DJG Sammy,R Rampaul,FH Edwards,JE Taylor,0
Pakistan,Zimbabwe,Multan Cricket Stadium,27 January 2008,1,0,Salman Butt,Nasir Jamshed,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Shahid Afridi,Kamran Akmal,Kamran Hussain,Sohail Tanvir,Yasir Arafat,V Sibanda,H Masakadza,SC Williams,T Taibu,BRM Taylor,E Chigumbura,CJ Chibhabha,KM Dabengwa,GB Brent,RW Price,T Mupariwa,0
South Africa,West Indies,Port Elizabeth,27 January 2008,1,1,BA Parchment,S Chattergoon,PA Browne,MN Samuels,RS Morton,DJ Bravo,DJG Sammy,D Ramdin,JE Taylor,FH Edwards,DBL Powell,HH Gibbs,GC Smith,JH Kallis,AB de Villiers,JP Duminy,MV Boucher,SM Pollock,J Botha,M Morkel,DW Steyn,CK Langeveldt,0
Pakistan,Zimbabwe,Faisalabad,30 January 2008,1,1,V Sibanda,H Masakadza,SC Williams,T Taibu,BRM Taylor,CJ Chibhabha,E Chigumbura,KM Dabengwa,GB Brent,RW Price,CB Mpofu,Nasir Jamshed,Khalid Latif,Shoaib Malik,Mohammad Yousuf,Fawad Alam,MisbahulHaq,Shahid Afridi,Sohail Tanvir,Sarfraz Ahmed,Sohail Khan,Kamran Hussain,0
South Africa,West Indies,Durban,1 February 2008,1,1,BA Parchment,S Chattergoon,S Chanderpaul,MN Samuels,DJ Bravo,PA Browne,DJG Sammy,RN Lewis,JE Taylor,DBL Powell,FH Edwards,GC Smith,HH Gibbs,JH Kallis,AB de Villiers,JP Duminy,SM Pollock,MV Boucher,J Botha,M Morkel,A Nel,M Ntini,0
Pakistan,Zimbabwe,Sheikhupura Stadium,2 February 2008,1,1,V Sibanda,H Masakadza,SC Williams,T Taibu,BRM Taylor,CJ Chibhabha,E Chigumbura,KM Dabengwa,GB Brent,RW Price,CB Mpofu,Nasir Jamshed,Khurram Manzoor,Younis Khan,MisbahulHaq,Fawad Alam,Shoaib Malik,Sarfraz Ahmed,Sohail Tanvir,Wahab Riaz,Abdur Rauf,Rizwan Ahmed,0
South Africa,West Indies,Johannesburg,3 February 2008,1,1,BA Parchment,DS Smith,S Chanderpaul,PA Browne,DJ Bravo,RS Morton,D Ramdin,DJG Sammy,RN Lewis,R Rampaul,DBL Powell,HH Gibbs,GC Smith,JH Kallis,SM Pollock,AB de Villiers,JP Duminy,MV Boucher,JA Morkel,A Nel,DW Steyn,CK Langeveldt,0
Australia,Sri Lanka,Sydney Cricket Ground,8 February 2008,1,0,AC Gilchrist,ML Hayden,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,JR Hopes,B Lee,NW Bracken,GB Hogg,MG Johnson,WU Tharanga,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,LPC Silva,TM Dilshan,CK Kapugedera,WPUJC Vaas,SL Malinga,M Muralitharan,MKDI Amerasinghe,0
New Zealand,England,Wellington,9 February 2008,1,1,AN Cook,P Mustard,IR Bell,KP Pietersen,PD Collingwood,OA Shah,RS Bopara,GP Swann,SCJ Broad,RJ Sidebottom,JM Anderson,JD Ryder,BB McCullum,JM How,LRPL Taylor,SB Styris,PG Fulton,JDP Oram,DL Vettori,KD Mills,JS Patel,CS Martin,0
Australia,India,Melbourne Cricket Ground,10 February 2008,1,0,AC Gilchrist,ML Hayden,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,BJ Haddin,B Lee,MG Johnson,NW Bracken,SR Clark,V Sehwag,SR Tendulkar,IK Pathan,G Gambhir,Yuvraj Singh,RG Sharma,MS Dhoni,RV Uthappa,Harbhajan Singh,S Sreesanth,I Sharma,1
India,Sri Lanka,Canberra,12 February 2008,1,0,V Sehwag,SR Tendulkar,G Gambhir,RG Sharma,MS Dhoni,Yuvraj Singh,RV Uthappa,IK Pathan,Harbhajan Singh,S Sreesanth,I Sharma,TM Dilshan,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,MF Maharoof,LPC Silva,CK Kapugedera,WPUJC Vaas,SL Malinga,KMDN Kulasekara,M Muralitharan,1
New Zealand,England,Hamilton,12 February 2008,1,1,AN Cook,P Mustard,IR Bell,KP Pietersen,PD Collingwood,OA Shah,RS Bopara,GP Swann,SCJ Broad,RJ Sidebottom,JM Anderson,JD Ryder,BB McCullum,JM How,LRPL Taylor,SB Styris,PG Fulton,JDP Oram,DL Vettori,KD Mills,MJ Mason,CS Martin,0
New Zealand,England,Auckland,15 February 2008,1,0,JD Ryder,BB McCullum,JM How,LRPL Taylor,SB Styris,PG Fulton,JDP Oram,DL Vettori,KD Mills,PA Hitchcock,CS Martin,AN Cook,P Mustard,IR Bell,KP Pietersen,PD Collingwood,OA Shah,AD Mascarenhas,LJ Wright,SCJ Broad,RJ Sidebottom,JM Anderson,1
Australia,Sri Lanka,Perth,15 February 2008,1,0,AC Gilchrist,ML Hayden,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,JR Hopes,GB Hogg,B Lee,MG Johnson,NW Bracken,TM Dilshan,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,LPC Silva,CK Kapugedera,MF Maharoof,WPUJC Vaas,KMDN Kulasekara,SL Malinga,M Muralitharan,0
Australia,India,Adelaide Oval,17 February 2008,1,0,AC Gilchrist,ML Hayden,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,JR Hopes,GB Hogg,MG Johnson,NW Bracken,SR Clark,G Gambhir,SR Tendulkar,IK Pathan,RG Sharma,Yuvraj Singh,MS Dhoni,RV Uthappa,Harbhajan Singh,S Sreesanth,I Sharma,MM Patel,0
India,Sri Lanka,Adelaide Oval,19 February 2008,1,1,TM Dilshan,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,CK Kapugedera,LPC Silva,MF Maharoof,WPUJC Vaas,SL Malinga,MKDI Amerasinghe,M Muralitharan,G Gambhir,SR Tendulkar,RV Uthappa,RG Sharma,Yuvraj Singh,MS Dhoni,IK Pathan,P Kumar,Harbhajan Singh,I Sharma,MM Patel,0
New Zealand,England,Napier,20 February 2008,1,1,AN Cook,P Mustard,IR Bell,KP Pietersen,PD Collingwood,OA Shah,LJ Wright,AD Mascarenhas,SCJ Broad,RJ Sidebottom,JM Anderson,JD Ryder,BB McCullum,JM How,LRPL Taylor,SB Styris,PG Fulton,JDP Oram,DL Vettori,KD Mills,IE OBrien,CS Martin,2
Australia,Sri Lanka,Melbourne Cricket Ground,22 February 2008,1,0,AC Gilchrist,ML Hayden,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,JR Hopes,GB Hogg,MG Johnson,NW Bracken,SR Clark,MDK Perera,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,LPC Silva,TM Dilshan,MF Maharoof,WPUJC Vaas,SL Malinga,MKDI Amerasinghe,M Muralitharan,0
New Zealand,England,Christchurch,23 February 2008,1,1,AN Cook,P Mustard,IR Bell,KP Pietersen,PD Collingwood,OA Shah,LJ Wright,AD Mascarenhas,SCJ Broad,RJ Sidebottom,JM Anderson,JD Ryder,BB McCullum,JM How,LRPL Taylor,SB Styris,DR Flynn,JDP Oram,DL Vettori,KD Mills,JS Patel,CS Martin,0
Australia,India,Sydney Cricket Ground,24 February 2008,1,0,AC Gilchrist,ML Hayden,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,JR Hopes,B Lee,GB Hogg,NW Bracken,SR Clark,V Sehwag,SR Tendulkar,G Gambhir,RG Sharma,Yuvraj Singh,MS Dhoni,RV Uthappa,IK Pathan,Harbhajan Singh,S Sreesanth,I Sharma,0
India,Sri Lanka,Hobart,26 February 2008,1,1,MDK Perera,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,LPC Silva,TM Dilshan,CK Kapugedera,WPUJC Vaas,SL Malinga,M Muralitharan,MKDI Amerasinghe,RV Uthappa,SR Tendulkar,G Gambhir,Yuvraj Singh,RG Sharma,P Kumar,IK Pathan,MS Dhoni,Harbhajan Singh,I Sharma,MM Patel,0
Australia,Sri Lanka,Melbourne Cricket Ground,29 February 2008,1,1,MDK Perera,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,CK Kapugedera,TM Dilshan,LPC Silva,KMDN Kulasekara,SL Malinga,M Muralitharan,MKDI Amerasinghe,AC Gilchrist,JR Hopes,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,BJ Haddin,GB Hogg,B Lee,MG Johnson,NW Bracken,1
Australia,India,Sydney Cricket Ground,2 March 2008,1,0,AC Gilchrist,ML Hayden,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,JR Hopes,GB Hogg,B Lee,MG Johnson,NW Bracken,RV Uthappa,SR Tendulkar,G Gambhir,Yuvraj Singh,RG Sharma,MS Dhoni,P Kumar,IK Pathan,Harbhajan Singh,I Sharma,PP Chawla,1
Australia,India,Woolloongabba,4 March 2008,1,1,RV Uthappa,SR Tendulkar,G Gambhir,Yuvraj Singh,MS Dhoni,RG Sharma,IK Pathan,Harbhajan Singh,P Kumar,PP Chawla,S Sreesanth,AC Gilchrist,ML Hayden,RT Ponting,MJ Clarke,A Symonds,MEK Hussey,JR Hopes,B Lee,MG Johnson,NW Bracken,SR Clark,1
Bangladesh,South Africa,Chittagong Divisional Stadium,9 March 2008,1,0,Tamim Iqbal,Junaid Siddique,Shahriar Nafees,Mohammad Ashraful,Shakib Al Hasan,Raqibul Hasan,Dhiman Ghosh,Mosharraf Hossain,Abdur Razzak,Shahadat Hossain,Syed Rasel,HH Gibbs,GC Smith,HM Amla,AB de Villiers,JP Duminy,JA Morkel,A Nel,J Botha,AN Petersen,PL Harris,CK Langeveldt,1
Bangladesh,South Africa,Mirpur,12 March 2008,1,0,Tamim Iqbal,Shahriar Nafees,Mohammad Ashraful,Nazimuddin,Shakib Al Hasan,Raqibul Hasan,Dhiman Ghosh,Abdur Razzak,Mashrafe Mortaza,Mosharraf Hossain,Syed Rasel,GC Smith,HH Gibbs,HM Amla,AB de Villiers,JP Duminy,JA Morkel,A Nel,J Botha,AN Petersen,PL Harris,CK Langeveldt,1
Bangladesh,South Africa,Mirpur,14 March 2008,1,0,Tamim Iqbal,Shahriar Nafees,Nazimuddin,Mohammad Ashraful,Shakib Al Hasan,Raqibul Hasan,Dhiman Ghosh,Farhad Reza,Abdur Razzak,Mashrafe Mortaza,Mosharraf Hossain,HH Gibbs,GC Smith,AN Petersen,AB de Villiers,JP Duminy,HM Amla,JA Morkel,M Morkel,PL Harris,J Botha,DW Steyn,1
Bangladesh,Ireland,Mirpur,18 March 2008,1,1,WTS Porterfield,R Strydom,EJG Morgan,NJ OBrien,KJ OBrien,AC Botha,AR Cusack,DT Johnston,D LangfordSmith,GJ Thompson,WK McCallan,Tamim Iqbal,Shahriar Nafees,Aftab Ahmed,Mohammad Ashraful,Shakib Al Hasan,Raqibul Hasan,Dhiman Ghosh,Farhad Reza,Abdur Razzak,Mashrafe Mortaza,Mahmudullah,0
Bangladesh,Ireland,Mirpur,20 March 2008,1,0,Tamim Iqbal,Shahriar Nafees,Aftab Ahmed,Mohammad Ashraful,Farhad Reza,Shakib Al Hasan,Mashrafe Mortaza,Raqibul Hasan,Mahmudullah,Dhiman Ghosh,Abdur Razzak,WTS Porterfield,R Strydom,EJG Morgan,NJ OBrien,KJ OBrien,AC Botha,AR Cusack,DT Johnston,WK McCallan,GJ Thompson,D LangfordSmith,0
Bangladesh,Ireland,Mirpur,22 March 2008,1,0,Tamim Iqbal,Shahriar Nafees,Aftab Ahmed,Mohammad Ashraful,Shakib Al Hasan,Raqibul Hasan,Mahmudullah,Mashrafe Mortaza,Farhad Reza,Dhiman Ghosh,Abdur Razzak,WTS Porterfield,R Strydom,EJG Morgan,NJ OBrien,KJ OBrien,AC Botha,AR Cusack,DT Johnston,WK McCallan,GJ Thompson,D LangfordSmith,0
Pakistan,Bangladesh,Lahore,8 April 2008,1,0,Salman Butt,Nasir Jamshed,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Shahid Afridi,Kamran Akmal,Sohail Tanvir,Umar Gul,Iftikhar Anjum,Tamim Iqbal,Shahriar Nafees,Aftab Ahmed,Mohammad Ashraful,Raqibul Hasan,Shakib Al Hasan,Mahmudullah,Farhad Reza,Dhiman Ghosh,Mashrafe Mortaza,Abdur Razzak,0
West Indies,Sri Lanka,Port of Spain,10 April 2008,1,1,WU Tharanga,ML Udawatte,KC Sangakkara,DPMD Jayawardene,LPC Silva,TM Dilshan,CK Kapugedera,WPUJC Vaas,KMDN Kulasekara,BAW Mendis,MKDI Amerasinghe,CH Gayle,DS Smith,RR Sarwan,MN Samuels,S Chanderpaul,DJ Bravo,PA Browne,DJG Sammy,JE Taylor,SJ Benn,FH Edwards,0
Pakistan,Bangladesh,Faisalabad,11 April 2008,1,1,Tamim Iqbal,Shahriar Nafees,Aftab Ahmed,Mohammad Ashraful,Shakib Al Hasan,Mahmudullah,Farhad Reza,Dhiman Ghosh,Mashrafe Mortaza,Abdur Razzak,Syed Rasel,Salman Butt,Nasir Jamshed,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahulHaq,Shahid Afridi,Kamran Akmal,Sohail Tanvir,Umar Gul,Iftikhar Anjum,0
West Indies,Sri Lanka,Port of Spain,12 April 2008,1,1,WU Tharanga,ML Udawatte,KC Sangakkara,K Weeraratne,DPMD Jayawardene,LPC Silva,TM Dilshan,CK Kapugedera,WPUJC Vaas,BAW Mendis,KMDN Kulasekara,CH Gayle,DJ Bravo,RR Sarwan,S Chanderpaul,MN Samuels,S Chattergoon,D Ramdin,DJG Sammy,JE Taylor,FH Edwards,DBL Powell,0
Pakistan,Bangladesh,Lahore,13 April 2008,1,0,Salman Butt,Kamran Akmal,Bazid Khan,Mohammad Yousuf,Shahid Afridi,Shoaib Malik,MisbahulHaq,Sohail Tanvir,Fawad Alam,Iftikhar Anjum,Sohail Khan,Tamim Iqbal,Shahriar Nafees,Aftab Ahmed,Mohammad Ashraful,Shakib Al Hasan,Mahmudullah,Farhad Reza,Mashrafe Mortaza,Dhiman Ghosh,Abdur Razzak,Shahadat Hossain,0
Pakistan,Bangladesh,Multan Cricket Stadium,16 April 2008,1,1,Tamim Iqbal,Junaid Siddique,Aftab Ahmed,Mohammad Ashraful,Shakib Al Hasan,Mahmudullah,Farhad Reza,Dhiman Ghosh,Abdur Razzak,Mashrafe Mortaza,Shahadat Hossain,Salman Butt,Kamran Akmal,Bazid Khan,Mohammad Yousuf,Fawad Alam,Shahid Afridi,Shoaib Malik,MisbahulHaq,Sohail Khan,Umar Gul,Mohammad Asif,0
Pakistan,Bangladesh,Karachi,19 April 2008,1,0,Salman Butt,Kamran Akmal,Younis Khan,Mohammad Yousuf,Shoaib Malik,Shahid Afridi,MisbahulHaq,Naumanullah,Wahab Riaz,Umar Gul,Mohammad Asif,Tamim Iqbal,Junaid Siddique,Aftab Ahmed,Mohammad Ashraful,Shakib Al Hasan,Mahmudullah,Farhad Reza,Dhiman Ghosh,Mashrafe Mortaza,Abdur Razzak,Shahadat Hossain,0
Bangladesh,Pakistan,Mirpur,8 June 2008,1,1,Salman Butt,Kamran Akmal,Younis Khan,Mohammad Yousuf,Shahid Afridi,Shoaib Malik,MisbahulHaq,Fawad Alam,Sohail Tanvir,Umar Gul,Wahab Riaz,Tamim Iqbal,Shahriar Nafees,Mohammad Ashraful,Raqibul Hasan,Alok Kapali,Mushfiqur Rahim,Mahmudullah,Mashrafe Mortaza,Dolar Mahmud,Abdur Razzak,Shahadat Hossain,1
India,Pakistan,Mirpur,10 June 2008,1,0,G Gambhir,V Sehwag,Yuvraj Singh,YK Pathan,RG Sharma,MS Dhoni,SK Raina,IK Pathan,P Kumar,PP Chawla,I Sharma,Salman Butt,Kamran Akmal,Younis Khan,Mohammad Yousuf,MisbahulHaq,Shoaib Malik,Shahid Afridi,Sohail Tanvir,Umar Gul,Iftikhar Anjum,Wahab Riaz,0
Bangladesh,India,Mirpur,12 June 2008,1,0,Tamim Iqbal,Shahriar Nafees,Mohammad Ashraful,Raqibul Hasan,Mushfiqur Rahim,Alok Kapali,Mahmudullah,Farhad Reza,Mashrafe Mortaza,Abdur Razzak,Dolar Mahmud,G Gambhir,V Sehwag,RG Sharma,Yuvraj Singh,SK Raina,YK Pathan,MS Dhoni,IK Pathan,PP Chawla,P Kumar,RP Singh,1
